ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
43744,Maria Elisa Guimares Zanini,F,17.0,170.0,63.0,Brazil,BRA,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Women's 400 metres Freestyle,
43745,Nilo Martins Guimares,M,27.0,180.0,72.0,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Basketball,Basketball Men's Basketball,
43746,Oswaldo dos Santos Guimares,M,26.0,183.0,90.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Men's Handball,
43747,Plauto de Barros Guimares,M,,,,Brazil,BRA,1948 Summer,1948,Summer,London,Swimming,Swimming Men's 100 metres Freestyle,
43748,Ricardo Vaz Guimares,M,23.0,178.0,,Brazil,BRA,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Men's 100 metres,
44069,Rebeca Braga Lakiss Gusmo,F,19.0,178.0,74.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 50 metres Freestyle,
44069,Rebeca Braga Lakiss Gusmo,F,19.0,178.0,74.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 100 metres Freestyle,
44069,Rebeca Braga Lakiss Gusmo,F,19.0,178.0,74.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,
44116,Gustavo Endres,M,25.0,203.0,98.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Volleyball,Volleyball Men's Volleyball,
44116,Gustavo Endres,M,28.0,203.0,98.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Volleyball,Volleyball Men's Volleyball,Gold
44116,Gustavo Endres,M,32.0,203.0,98.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Men's Volleyball,Silver
44198,"Carlos Augusto ""Guto"" Campos",M,22.0,185.0,75.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",
44198,"Carlos Augusto ""Guto"" Campos",M,22.0,185.0,75.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",
44590,Henrique Haddad,M,29.0,165.0,63.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Men's Two Person Dinghy,
45267,Hamilton Rubio,M,19.0,169.0,64.0,Brazil,BRA,1968 Summer,1968,Summer,Mexico City,Football,Football Men's Football,
45513,Hugo Hanashiro,M,23.0,169.0,63.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Table Tennis,Table Tennis Men's Doubles,
45592,Arie Richard Hanitzsch,M,24.0,,,Brazil,BRA,1952 Summer,1952,Summer,Helsinki,Diving,Diving Men's Platform,
46225,Maya Harrisson,F,17.0,161.0,53.0,Brazil,BRA,2010 Winter,2010,Winter,Vancouver,Alpine Skiing,Alpine Skiing Women's Giant Slalom,
46225,Maya Harrisson,F,17.0,161.0,53.0,Brazil,BRA,2010 Winter,2010,Winter,Vancouver,Alpine Skiing,Alpine Skiing Women's Slalom,
46225,Maya Harrisson,F,21.0,161.0,53.0,Brazil,BRA,2014 Winter,2014,Winter,Sochi,Alpine Skiing,Alpine Skiing Women's Giant Slalom,
46225,Maya Harrisson,F,21.0,161.0,53.0,Brazil,BRA,2014 Winter,2014,Winter,Sochi,Alpine Skiing,Alpine Skiing Women's Slalom,
46365,Samantha Celeste Harvey,F,31.0,165.0,53.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Modern Pentathlon,Modern Pentathlon Women's Individual,
46668,Ivan Zanoni Hausen,M,20.0,,,Brazil,BRA,1948 Summer,1948,Summer,London,Athletics,Athletics Men's 100 metres,
46668,Ivan Zanoni Hausen,M,20.0,,,Brazil,BRA,1948 Summer,1948,Summer,London,Athletics,Athletics Men's 200 metres,
46668,Ivan Zanoni Hausen,M,20.0,,,Brazil,BRA,1948 Summer,1948,Summer,London,Athletics,Athletics Men's 4 x 100 metres Relay,
46714,"Jean Marie ""Joo"" Faustino Godefroid Havelange",M,20.0,,,Brazil,BRA,1936 Summer,1936,Summer,Berlin,Swimming,Swimming Men's 400 metres Freestyle,
46714,"Jean Marie ""Joo"" Faustino Godefroid Havelange",M,20.0,,,Brazil,BRA,1936 Summer,1936,Summer,Berlin,Swimming,"Swimming Men's 1,500 metres Freestyle",
46714,"Jean Marie ""Joo"" Faustino Godefroid Havelange",M,36.0,,,Brazil,BRA,1952 Summer,1952,Summer,Helsinki,Water Polo,Water Polo Men's Water Polo,
46865,Glenn Eric Haynes,M,23.0,182.0,70.0,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Sailing,Sailing Mixed Multihull,
47390,Helen Cristina Santos Luz,F,19.0,175.0,61.0,Brazil,BRA,1992 Summer,1992,Summer,Barcelona,Basketball,Basketball Women's Basketball,
47390,Helen Cristina Santos Luz,F,27.0,175.0,61.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Women's Basketball,Bronze
47390,Helen Cristina Santos Luz,F,31.0,175.0,61.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Basketball,Basketball Women's Basketball,
47412,"Hlio ""Helinho"" Lisboa Justino",M,32.0,184.0,97.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Handball,Handball Men's Handball,
47412,"Hlio ""Helinho"" Lisboa Justino",M,36.0,184.0,97.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Handball,Handball Men's Handball,
47434,Andr Heller,M,24.0,199.0,93.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Volleyball,Volleyball Men's Volleyball,
47434,Andr Heller,M,28.0,199.0,93.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Volleyball,Volleyball Men's Volleyball,Gold
47434,Andr Heller,M,32.0,199.0,93.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Men's Volleyball,Silver
47499,Hlton da Silva Arruda,M,22.0,169.0,78.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Football,Football Men's Football,
47604,Klaus Hendriksen,M,27.0,,,Vento Sul,BRA,1964 Summer,1964,Summer,Tokyo,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,
